book_id,book_genre,clean_genre_list
18635113,"['Fiction', 'Mystery', 'Contemporary', 'Mystery', 'Thriller', 'Thriller', 'Audiobook', 'Historical', 'Adult Fiction', 'Adult']","['Fiction', 'Mystery', 'Contemporary', 'Thriller', 'Audiobook', 'Historical', 'Adult Fiction', 'Adult']"
17934655,"['Nonfiction', 'Writing', 'Autobiography', 'Psychology', 'Short Stories', 'Feminism', 'Health', 'Unfinished', 'Philosophy', 'Biography']","['Nonfiction', 'Writing', 'Autobiography', 'Psychology', 'Short Stories', 'Feminism', 'Health', 'Unfinished', 'Philosophy', 'Biography']"
18490560,"['Fiction', 'Contemporary', 'Novels', 'Literary Fiction', 'Health', 'Mental Health', 'Adult', 'Literature', 'Adult Fiction', 'Psychology']","['Fiction', 'Contemporary', 'Novels', 'Literary Fiction', 'Health', 'Mental Health', 'Adult', 'Literature', 'Adult Fiction', 'Psychology']"
38926327,"['Fiction', 'Contemporary', 'Mystery', 'Science Fiction', 'Psychology', 'Literary Fiction', 'Novels', 'Adult', 'Suspense', 'Thriller']","['Fiction', 'Contemporary', 'Mystery', 'Science Fiction', 'Psychology', 'Literary Fiction', 'Novels', 'Adult', 'Suspense', 'Thriller']"
51933429,"['Mystery', 'Thriller', 'Fiction', 'Thriller', 'Audiobook', 'Adult', 'Suspense', 'Contemporary', 'Mystery', 'Adult Fiction']","['Mystery', 'Thriller', 'Fiction', 'Audiobook', 'Adult', 'Suspense', 'Contemporary', 'Adult Fiction']"
45932891,"['Mystery', 'Young Adult', 'Thriller', 'Contemporary', 'Fiction', 'Thriller', 'Audiobook', 'Romance', 'Mystery', 'Suspense']","['Mystery', 'Young Adult', 'Thriller', 'Contemporary', 'Fiction', 'Audiobook', 'Romance', 'Suspense']"
19288043,"['', '', 'Fiction', 'Mystery', 'Thriller', 'Mystery', 'Thriller', 'Suspense', 'Contemporary', 'Adult', 'Adult Fiction', 'Audiobook']","['Fiction', 'Mystery', 'Thriller', 'Suspense', 'Contemporary', 'Adult', 'Adult Fiction', 'Audiobook']"
35504431,"['Young Adult', 'Fiction', 'Contemporary', 'Health', 'Romance', 'Audiobook', 'Realistic Fiction', 'Mental Health', 'Mystery', 'Young Adult']","['Young Adult', 'Fiction', 'Contemporary', 'Health', 'Romance', 'Audiobook', 'Realistic Fiction', 'Mental Health', 'Mystery']"
32571395,"['Mystery', 'Young Adult', 'Contemporary', 'Thriller', 'Fiction', 'Thriller', 'Romance', 'Audiobook', 'Mystery', 'LGBT']","['Mystery', 'Young Adult', 'Contemporary', 'Thriller', 'Fiction', 'Romance', 'Audiobook', 'LGBT']"
40396699,"['Thriller', 'Mystery', 'Fiction', 'Thriller', 'Audiobook', 'Suspense', 'Mystery', 'Adult', 'Thriller', 'Contemporary']","['Thriller', 'Mystery', 'Fiction', 'Audiobook', 'Suspense', 'Adult', 'Contemporary']"
40859582,"['Mystery', 'Fiction', 'Mystery', 'Audiobook', 'Thriller', 'Thriller', 'Mystery', 'Adult', 'Contemporary', 'European Literature']","['Mystery', 'Fiction', 'Audiobook', 'Thriller', 'Adult', 'Contemporary', 'European Literature']"
35096850,"['Mystery', 'Fiction', 'Mystery', 'Thriller', 'Audiobook', 'Thriller', 'Mystery', 'Adult', 'Contemporary', 'Suspense']","['Mystery', 'Fiction', 'Thriller', 'Audiobook', 'Adult', 'Contemporary', 'Suspense']"
50547900,"['Fiction', 'Asian Literature', 'Novels']","['Fiction', 'Asian Literature', 'Novels']"
36393774,"['Historical', 'Fiction', 'Novels', 'Asian Literature', 'Historical', 'Family', 'Politics', 'Literature', 'Romance', 'Adult']","['Historical', 'Fiction', 'Novels', 'Asian Literature', 'Family', 'Politics', 'Literature', 'Romance', 'Adult']"
43264830,"['Nonfiction', 'Philosophy', 'Psychology', 'Self Help', 'Self Help', 'Education', 'Audiobook', 'Spirituality', 'Relationships', 'Cultural']","['Nonfiction', 'Philosophy', 'Psychology', 'Self Help', 'Education', 'Audiobook', 'Spirituality', 'Relationships', 'Cultural']"
51200095,"['', 'Sequential Art', 'Autobiography', 'Nonfiction', 'Sequential Art', 'Romance', 'Humor', 'Adult', 'Contemporary', 'Religion', 'Religion']","['Sequential Art', 'Autobiography', 'Nonfiction', 'Romance', 'Humor', 'Adult', 'Contemporary', 'Religion']"
84699,"['Business', 'Nonfiction', 'Self Help', 'Self Help', 'Leadership', 'Psychology', 'Relationships', 'Language', 'Buisness', 'Business']","['Business', 'Nonfiction', 'Self Help', 'Leadership', 'Psychology', 'Relationships', 'Language', 'Buisness']"
2420301,"['Business', 'Nonfiction', 'Design', 'Language', 'Business', 'Self Help', 'Productivity', 'Buisness', 'Self Help', 'Business']","['Business', 'Nonfiction', 'Design', 'Language', 'Self Help', 'Productivity', 'Buisness']"
40180021,"['Economics', 'Nonfiction', 'Business', 'Economics', 'Science', 'Politics', 'Academic', 'Social Science', 'Currency', 'Psychology']","['Economics', 'Nonfiction', 'Business', 'Science', 'Politics', 'Academic', 'Social Science', 'Currency', 'Psychology']"
50883325,"['Nonfiction', 'Romance', 'Short Stories', 'Writing', 'Anthologies', 'Autobiography', 'Contemporary', 'Audiobook', 'Relationships', 'Adult']","['Nonfiction', 'Romance', 'Short Stories', 'Writing', 'Anthologies', 'Autobiography', 'Contemporary', 'Audiobook', 'Relationships', 'Adult']"
245344,"['Science', 'Nonfiction', 'Science', 'Architecture', 'Science', 'Design', 'Science', 'Business', 'Education', 'Science']","['Science', 'Nonfiction', 'Architecture', 'Design', 'Business', 'Education']"
25666050,"['Nonfiction', 'Science', 'Psychology', 'Science', 'Science', 'Self Help', 'Business', 'Computer Science', 'Philosophy', 'Audiobook']","['Nonfiction', 'Science', 'Psychology', 'Self Help', 'Business', 'Computer Science', 'Philosophy', 'Audiobook']"
40922689,"['Fiction', 'Contemporary', 'Romance', 'Literary Fiction', 'Audiobook', 'Cultural', 'Adult', 'Novels', 'Adult Fiction', 'European Literature']","['Fiction', 'Contemporary', 'Romance', 'Literary Fiction', 'Audiobook', 'Cultural', 'Adult', 'Novels', 'Adult Fiction', 'European Literature']"
35381379,"['Fiction', 'Fantasy', 'Historical', 'Science Fiction', 'Science Fiction', 'Romance', 'Audiobook', 'Historical', 'Contemporary', 'Adult']","['Fiction', 'Fantasy', 'Historical', 'Science Fiction', 'Romance', 'Audiobook', 'Contemporary', 'Adult']"
18373,"['', 'Fiction', 'Classics', 'Science Fiction', 'Young Adult', 'Literature', 'Psychology', 'Academic', 'Novels', 'Adult', 'Academic']","['Fiction', 'Classics', 'Science Fiction', 'Young Adult', 'Literature', 'Psychology', 'Academic', 'Novels', 'Adult']"
17931417,"['', '', 'Fiction', 'Romance', 'Contemporary', 'Humor', 'Womens Fiction', 'Adult', 'Audiobook', 'Adult Fiction', 'Book Club', 'Cultural']","['Fiction', 'Romance', 'Contemporary', 'Humor', 'Womens Fiction', 'Adult', 'Audiobook', 'Adult Fiction', 'Book Club', 'Cultural']"
41940388,"['Science Fiction', 'Fiction', 'Science Fiction', 'Novella', 'Adult', 'Audiobook', 'Short Stories', 'Thriller', 'Speculative Fiction', 'Adult Fiction']","['Science Fiction', 'Fiction', 'Novella', 'Adult', 'Audiobook', 'Short Stories', 'Thriller', 'Speculative Fiction', 'Adult Fiction']"
37570605,"['Business', 'Nonfiction', 'Business', 'Self Help', 'Buisness', 'Business', 'Leadership', 'Self Help', 'Currency', 'Economics']","['Business', 'Nonfiction', 'Self Help', 'Buisness', 'Leadership', 'Currency', 'Economics']"
41795733,"['Nonfiction', 'Business', 'Psychology', 'Self Help', 'Science', 'Self Help', 'Audiobook', 'Education', 'Leadership', 'Productivity']","['Nonfiction', 'Business', 'Psychology', 'Self Help', 'Science', 'Audiobook', 'Education', 'Leadership', 'Productivity']"
3450744,"['Nonfiction', 'Psychology', 'Economics', 'Business', 'Self Help', 'Science', 'Politics', 'Self Help', 'Sociology', 'Social Science']","['Nonfiction', 'Psychology', 'Economics', 'Business', 'Self Help', 'Science', 'Politics', 'Sociology', 'Social Science']"
23211076,"['', 'Fantasy', 'Fiction', 'Young Adult', 'Fantasy', 'Adult', 'Audiobook', 'Adventure', 'Historical', 'Fantasy', 'Young Adult']","['Fantasy', 'Fiction', 'Young Adult', 'Adult', 'Audiobook', 'Adventure', 'Historical']"
40644351,"['Young Adult', 'Romance', 'Contemporary', 'Realistic Fiction', 'Fiction', 'Young Adult', 'Audiobook', 'Death', 'Romance', 'Womens Fiction']","['Young Adult', 'Romance', 'Contemporary', 'Realistic Fiction', 'Fiction', 'Audiobook', 'Death', 'Womens Fiction']"
35820001,"['Contemporary', 'Young Adult', 'Fiction', 'Realistic Fiction', 'Young Adult', 'Romance', 'Travel', 'Adventure', 'Young Adult', 'Environment']","['Contemporary', 'Young Adult', 'Fiction', 'Realistic Fiction', 'Romance', 'Travel', 'Adventure', 'Environment']"
13423340,"['Romance', 'Fiction', 'Novels', 'Asian Literature', 'Adult', 'Romance', 'Contemporary', 'Womens Fiction', 'Love', 'Family']","['Romance', 'Fiction', 'Novels', 'Asian Literature', 'Adult', 'Contemporary', 'Womens Fiction', 'Love', 'Family']"
29550728,"['Education', 'Nonfiction', 'Teaching', 'Politics', 'Travel', 'Sociology', 'Academic', 'Economics', 'Anthropology', 'Business']","['Education', 'Nonfiction', 'Teaching', 'Politics', 'Travel', 'Sociology', 'Academic', 'Economics', 'Anthropology', 'Business']"
3573143,"['Romance', 'Fiction', 'Novels', 'Asian Literature', 'Adult', 'Womens Fiction', 'Romance', 'Contemporary', 'Love', 'Family']","['Romance', 'Fiction', 'Novels', 'Asian Literature', 'Adult', 'Womens Fiction', 'Contemporary', 'Love', 'Family']"
24358259,"['Young Adult', 'Contemporary', 'Romance', 'Fiction', 'Health', 'Womens Fiction', 'Audiobook', 'Mental Health', 'Realistic Fiction', 'Young Adult']","['Young Adult', 'Contemporary', 'Romance', 'Fiction', 'Health', 'Womens Fiction', 'Audiobook', 'Mental Health', 'Realistic Fiction']"
42731452,"['Young Adult', 'Contemporary', 'Romance', 'Fiction', 'Realistic Fiction', 'Young Adult', 'Audiobook', 'Historical', 'Young Adult', 'Young Adult']","['Young Adult', 'Contemporary', 'Romance', 'Fiction', 'Realistic Fiction', 'Audiobook', 'Historical']"
40065177,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Young Adult', 'Audiobook', 'Young Adult', 'Young Adult', 'Romance']","['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Audiobook']"
15745753,"['', '', 'Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Audiobook', 'Young Adult', 'Young Adult', 'Young Adult', 'Young Adult']","['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Audiobook']"
38943218,"['Young Adult', 'Contemporary', 'Romance', 'Fiction', 'Audiobook', 'Realistic Fiction', 'Young Adult', 'Historical', 'Young Adult', 'Young Adult']","['Young Adult', 'Contemporary', 'Romance', 'Fiction', 'Audiobook', 'Realistic Fiction', 'Historical']"
43722897,"['Nonfiction', 'Science', 'Science', 'Business', 'Economics', 'Science', 'Artificial Intelligence', 'Computer Science', 'Psychology', 'Academic']","['Nonfiction', 'Science', 'Business', 'Economics', 'Artificial Intelligence', 'Computer Science', 'Psychology', 'Academic']"
41941223,"['Science Fiction', 'Fiction', 'Thriller', 'Science Fiction', 'Audiobook', 'Mystery', 'Adult', 'Thriller', 'Fantasy', 'Science Fiction Fantasy']","['Science Fiction', 'Fiction', 'Thriller', 'Audiobook', 'Mystery', 'Adult', 'Fantasy', 'Science Fiction Fantasy']"
45697427,"['Science Fiction', 'Mystery', 'Audiobook', 'Thriller', 'Adult', 'Fantasy', 'Science Fiction Fantasy', 'Suspense', 'Adult Fiction', 'Thriller']","['Science Fiction', 'Mystery', 'Audiobook', 'Thriller', 'Adult', 'Fantasy', 'Science Fiction Fantasy', 'Suspense', 'Adult Fiction']"
